identifier,category,description
_1998,Scene Effects,Free
_70s,Scene Effects,Free
_90s画质,Scene Effects,Free
CCD闪光,Scene Effects,Free
DV录制框,Scene Effects,Free
DV界面,Scene Effects,Free
I_Lose_You,Scene Effects,Free
I_Love_You,Scene Effects,Free
JVC,Scene Effects,Free
List边框,Scene Effects,Free
MV封面,Scene Effects,Free
New_Year,Scene Effects,Free
PS边框,Scene Effects,Free
RGB描边,Scene Effects,Free
VCR,Scene Effects,Free
X_Signal,Scene Effects,Free
X开幕,Scene Effects,Free
betamax,Scene Effects,Free
emoji钻石,Scene Effects,Free
ins界面,Scene Effects,Free
ins风放大镜,Scene Effects,Free
kirakira,Scene Effects,Free
ktv灯光,Scene Effects,Free
ktv灯光_II,Scene Effects,Free
windows弹窗关闭,Scene Effects,Free
windows弹窗打开,Scene Effects,Free
丁达尔光线,Scene Effects,Free
万圣emoji,Scene Effects,Free
万圣夜,Scene Effects,Free
三屏,Scene Effects,Free
三格漫画,Scene Effects,Free
下雨,Scene Effects,Free
不对劲,Scene Effects,Free
不规则黑框,Scene Effects,Free
两屏,Scene Effects,Free
中枪了,Scene Effects,Free
乌鸦飞过,Scene Effects,Free
九屏,Scene Effects,Free
九屏跑马灯,Scene Effects,Free
五彩纸屑,Scene Effects,Free
五彩缤纷,Scene Effects,Free
亮片,Scene Effects,Free
人鱼滤镜,Scene Effects,Free
仙女变身,Scene Effects,Free
仙女变身_II,Scene Effects,Free
仙女棒,Scene Effects,Free
仙尘闪闪,Scene Effects,Free
低像素,Scene Effects,Free
低像素_II,Scene Effects,Free
倒计时_II,Scene Effects,Free
像素画,Scene Effects,Free
像素纹理,Scene Effects,Free
光斑虚化,Scene Effects,Free
光斑飘落,Scene Effects,Free
光晕,Scene Effects,Free
光晕_II,Scene Effects,Free
全剧终,Scene Effects,Free
六屏,Scene Effects,Free
关月亮,Scene Effects,Free
冰冷实验室,Scene Effects,Free
冰霜,Scene Effects,Free
冰霜_II,Scene Effects,Free
冲击波,Scene Effects,Free
冲刺,Scene Effects,Free
冲刺_II,Scene Effects,Free
冲刺_III,Scene Effects,Free
冲屏闪粉,Scene Effects,Free
凄凉,Scene Effects,Free
几何图形,Scene Effects,Free
刀光剑影,Scene Effects,Free
分屏开幕,Scene Effects,Free
初雪_I,Scene Effects,Free
剪纸边框,Scene Effects,Free
加载甜蜜,Scene Effects,Free
动感模糊,Scene Effects,Free
动感色卡,Scene Effects,Free
动感荧光,Scene Effects,Free
动感蓝带,Scene Effects,Free
单色涂鸦,Scene Effects,Free
南瓜光斑,Scene Effects,Free
南瓜笑脸,Scene Effects,Free
卷动,Scene Effects,Free
原相机,Scene Effects,Free
友友商店,Scene Effects,Free
反转片_I,Scene Effects,Free
发光,Scene Effects,Free
取景框,Scene Effects,Free
取景框_II,Scene Effects,Free
变形了,Scene Effects,Free
变彩色,Scene Effects,Free
变清晰,Scene Effects,Free
变清晰_II,Scene Effects,Free
变焦推镜,Scene Effects,Free
变秋天,Scene Effects,Free
变黑白,Scene Effects,Free
告白氛围,Scene Effects,Free
咔嚓,Scene Effects,Free
哈哈弹幕,Scene Effects,Free
哈苏胶片,Scene Effects,Free
唱片,Scene Effects,Free
唱片封面,Scene Effects,Free
啊啊啊啊,Scene Effects,Free
噪点,Scene Effects,Free
四屏,Scene Effects,Free
回弹摇摆,Scene Effects,Free
回忆文件夹,Scene Effects,Free
回忆胶片,Scene Effects,Free
圆形虚线放大镜,Scene Effects,Free
圣诞光斑,Scene Effects,Free
圣诞星光,Scene Effects,Free
地狱使者,Scene Effects,Free
基础黑框,Scene Effects,Free
塑料封面,Scene Effects,Free
塑料封面_II,Scene Effects,Free
塑料封面III,Scene Effects,Free
复古DV,Scene Effects,Free
复古DV_II,Scene Effects,Free
复古DV_III,Scene Effects,Free
复古DV_IV,Scene Effects,Free
复古发光,Scene Effects,Free
复古多格,Scene Effects,Free
复古弹窗_I,Scene Effects,Free
复古弹窗_II,Scene Effects,Free
复古漫画,Scene Effects,Free
复古甜心,Scene Effects,Free
复古碎钻,Scene Effects,Free
复古蓝调,Scene Effects,Free
夏日冰块,Scene Effects,Free
夏日泡泡_I,Scene Effects,Free
夕阳,Scene Effects,Free
夕阳_II,Scene Effects,Free
夕阳_III,Scene Effects,Free
夜蝶,Scene Effects,Free
夜视框,Scene Effects,Free
大雪,Scene Effects,Free
大雪纷飞,Scene Effects,Free
天使光,Scene Effects,Free
天使降临,Scene Effects,Free
失焦,Scene Effects,Free
夸夸弹幕,Scene Effects,Free
夺冠,Scene Effects,Free
孔明灯,Scene Effects,Free
孔明灯_II,Scene Effects,Free
字幕投影,Scene Effects,Free
字幕投影_II,Scene Effects,Free
字幕投影_III,Scene Effects,Free
字幕投影_IV,Scene Effects,Free
定格闪烁,Scene Effects,Free
小剧场,Scene Effects,Free
小动物,Scene Effects,Free
小花花,Scene Effects,Free
少女心,Scene Effects,Free
少女心事,Scene Effects,Free
少女星闪,Scene Effects,Free
左右摇晃,Scene Effects,Free
布拉格,Scene Effects,Free
幻彩文字,Scene Effects,Free
幻影,Scene Effects,Free
幻影_II,Scene Effects,Free
幻术摇摆,Scene Effects,Free
幻觉,Scene Effects,Free
广角,Scene Effects,Free
庆祝彩带,Scene Effects,Free
开幕,Scene Effects,Free
开幕_II,Scene Effects,Free
强锐化,Scene Effects,Free
录像带,Scene Effects,Free
录像带_II,Scene Effects,Free
录像带_III,Scene Effects,Free
录制框,Scene Effects,Free
录制边框,Scene Effects,Free
录制边框_II,Scene Effects,Free
录制边框_III,Scene Effects,Free
录制边框_IIII,Scene Effects,Free
彩信,Scene Effects,Free
彩噪画质,Scene Effects,Free
彩带,Scene Effects,Free
彩色描边,Scene Effects,Free
彩色漫画,Scene Effects,Free
彩色负片,Scene Effects,Free
彩虹光,Scene Effects,Free
彩虹光_II,Scene Effects,Free
