identifier,category,type,description
Kira游动,Text Animations,TextIntro,Free
上下抖动,Text Animations,TextIntro,Free
动感放大,Text Animations,TextIntro,Free
动感缩小,Text Animations,TextIntro,Free
向上滑动,Text Animations,TextIntro,Free
向上转入,Text Animations,TextIntro,Free
向上转入_II,Text Animations,TextIntro,Free
向下滑动,Text Animations,TextIntro,Free
向下甩入,Text Animations,TextIntro,Free
向右上甩入,Text Animations,TextIntro,Free
向右下甩入,Text Animations,TextIntro,Free
向右滑动,Text Animations,TextIntro,Free
向右甩入,Text Animations,TextIntro,Free
向右转入,Text Animations,TextIntro,Free
向左上甩入,Text Animations,TextIntro,Free
向左下甩入,Text Animations,TextIntro,Free
向左滑动,Text Animations,TextIntro,Free
向左转入,Text Animations,TextIntro,Free
左右抖动,Text Animations,TextIntro,Free
抖动下降,Text Animations,TextIntro,Free
折叠开幕,Text Animations,TextIntro,Free
放大,Text Animations,TextIntro,Free
斜切,Text Animations,TextIntro,Free
旋转,Text Animations,TextIntro,Free
旋转开幕,Text Animations,TextIntro,Free
渐显,Text Animations,TextIntro,Free
漩涡旋转,Text Animations,TextIntro,Free
缩小,Text Animations,TextIntro,Free
翻入,Text Animations,TextIntro,Free
跳转开幕,Text Animations,TextIntro,Free
轻微抖动,Text Animations,TextIntro,Free
轻微抖动_II,Text Animations,TextIntro,Free
轻微抖动_III,Text Animations,TextIntro,Free
轻微放大,Text Animations,TextIntro,Free
钟摆,Text Animations,TextIntro,Free
镜像翻转,Text Animations,TextIntro,Free
雨刷,Text Animations,TextIntro,Free
雨刷_II,Text Animations,TextIntro,Free
_2024,Text Animations,TextIntro,Free
_2025,Text Animations,TextIntro,Free
PASSION,Text Animations,TextIntro,Free
三屏下滑,Text Animations,TextIntro,Free
三屏切闪,Text Animations,TextIntro,Free
九宫格,Text Animations,TextIntro,Free
交叉震动,Text Animations,TextIntro,Free
交错开幕,Text Animations,TextIntro,Free
侧滑,Text Animations,TextIntro,Free
便利贴,Text Animations,TextIntro,Free
冬季雪花,Text Animations,TextIntro,Free
冰块,Text Animations,TextIntro,Free
冰雪融化,Text Animations,TextIntro,Free
冲撞,Text Animations,TextIntro,Free
分屏横移,Text Animations,TextIntro,Free
分屏组合,Text Animations,TextIntro,Free
分屏翻转,Text Animations,TextIntro,Free
分身模糊,Text Animations,TextIntro,Free
划水,Text Animations,TextIntro,Free
区域色块滑动,Text Animations,TextIntro,Free
十字震动,Text Animations,TextIntro,Free
