identifier,category,description
_3D空间,Transitions,Free
上下翻页,Transitions,Free
上移,Transitions,Free
下移,Transitions,Free
中心旋转,Transitions,Free
云朵,Transitions,Free
倒影,Transitions,Free
冰雪结晶,Transitions,Free
冲鸭,Transitions,Free
分割,Transitions,Free
分割_II,Transitions,Free
分割_III,Transitions,Free
分割_IV,Transitions,Free
前后对比_II,Transitions,Free
动漫云朵,Transitions,Free
动漫漩涡,Transitions,Free
动漫火焰,Transitions,Free
动漫闪电,Transitions,Free
压缩,Transitions,Free
叠加,Transitions,Free
叠化,Transitions,Free
右移,Transitions,Free
向上,Transitions,Free
向上擦除,Transitions,Free
向下,Transitions,Free
向下擦除,Transitions,Free
向下流动,Transitions,Free
向右,Transitions,Free
向右上,Transitions,Free
向右下,Transitions,Free
向右拉伸,Transitions,Free
向右擦除,Transitions,Free
向右流动,Transitions,Free
向左,Transitions,Free
向左上,Transitions,Free
向左下,Transitions,Free
向左拉伸,Transitions,Free
向左擦除,Transitions,Free
吸入,Transitions,Free
回忆下滑,Transitions,Free
圆形分割_II,Transitions,Free
圆形扫描,Transitions,Free
圆形遮罩,Transitions,Free
圆形遮罩_II,Transitions,Free
复古放映,Transitions,Free
岁月的痕迹,Transitions,Free
左下角_II,Transitions,Free
左移,Transitions,Free
开幕,Transitions,Free
弹幕转场,Transitions,Free
弹跳,Transitions,Free
打板转场_I,Transitions,Free
打板转场_II,Transitions,Free
抖动,Transitions,Free
抖动_II,Transitions,Free
抠像旋转,Transitions,Free
拉伸,Transitions,Free
拉伸_II,Transitions,Free
拉远,Transitions,Free
拍摄器,Transitions,Free
推近,Transitions,Free
撕纸拉屏,Transitions,Free
放射,Transitions,Free
故障,Transitions,Free
故障拼贴,Transitions,Free
斜向分割,Transitions,Free
星星,Transitions,Free
星星_II,Transitions,Free
模糊,Transitions,Free
横向分割,Transitions,Free
横向拉幕,Transitions,Free
横向模糊,Transitions,Free
横线,Transitions,Free
气泡转场,Transitions,Free
水墨,Transitions,Free
水波卷动,Transitions,Free
水波向右,Transitions,Free
水波向左,Transitions,Free
泛光,Transitions,Free
泛白,Transitions,Free
波点向右,Transitions,Free
渐变擦除,Transitions,Free
滑动,Transitions,Free
漩涡,Transitions,Free
烟雾转场,Transitions,Free
爱心,Transitions,Free
爱心_II,Transitions,Free
爱心上升,Transitions,Free
电视故障_I,Transitions,Free
电视故障_II,Transitions,Free
画笔擦除,Transitions,Free
白光快闪,Transitions,Free
白色墨花,Transitions,Free
白色烟雾,Transitions,Free
百叶窗,Transitions,Free
眨眼,Transitions,Free
矩形分割,Transitions,Free
窗格,Transitions,Free
立方体,Transitions,Free
竖向分割,Transitions,Free
竖向拉幕,Transitions,Free
竖向模糊,Transitions,Free
竖向模糊_II,Transitions,Free
竖线,Transitions,Free
箭头向右,Transitions,Free
粒子,Transitions,Free
翻篇,Transitions,Free
翻页,Transitions,Free
色差逆时针,Transitions,Free
色差顺时针,Transitions,Free
色彩溶解,Transitions,Free
色彩溶解_II,Transitions,Free
色彩溶解_III,Transitions,Free
蓝色线条,Transitions,Free
逆时针旋转,Transitions,Free
逆时针旋转_II,Transitions,Free
镜像翻转,Transitions,Free
闪白,Transitions,Free
闪白_II,Transitions,Free
闪黑,Transitions,Free
雪花故障,Transitions,Free
雾化,Transitions,Free
震动,Transitions,Free
顺时针旋转,Transitions,Free
顺时针旋转_II,Transitions,Free
频闪,Transitions,Free
风车,Transitions,Free
马赛克,Transitions,Free
黑色块,Transitions,Free
黑色烟雾,Transitions,Free
_2024回忆流,Transitions,Free
X形震闪,Transitions,Free
万花筒,Transitions,Free
三屏放大,Transitions,Free
三屏滑入,Transitions,Free
三屏闪切,Transitions,Free
下滑,Transitions,Free
中心切开,Transitions,Free
二次元烟效,Transitions,Free
云朵_II,Transitions,Free
亮点模糊,Transitions,Free
便利贴,Transitions,Free
信号故障,Transitions,Free
信号故障_II,Transitions,Free
倾斜拉伸,Transitions,Free
倾斜拉开,Transitions,Free
倾斜模糊,Transitions,Free
像素冲屏,Transitions,Free
光束,Transitions,Free
全息投影,Transitions,Free
六边形变焦,Transitions,Free
冲屏扭曲,Transitions,Free
几何分割,Transitions,Free
几何滑动,Transitions,Free
分屏下滑,Transitions,Free
前后对比,Transitions,Free
剧烈摇晃,Transitions,Free
卡片弹出,Transitions,Free
发光变焦,Transitions,Free
叠化扭曲,Transitions,Free
可爱爆炸,Transitions,Free
可爱龙龙,Transitions,Free
吃掉,Transitions,Free
后台切换,Transitions,Free
向上波动,Transitions,Free
向下抖动,Transitions,Free
向下拖拽,Transitions,Free
向左拉屏,Transitions,Free
向左波动,Transitions,Free
喜欢,Transitions,Free
四屏转换,Transitions,Free
四格展开,Transitions,Free
回忆,Transitions,Free
回忆_II,Transitions,Free
回忆拉屏,Transitions,Free
回忆拉屏_II,Transitions,Free
图片放大,Transitions,Free
圆形分割,Transitions,Free
圆盘旋转,Transitions,Free
圣诞光斑,Transitions,Free
圣诞光斑II,Transitions,Free
圣诞树,Transitions,Free
圣诞礼盒,Transitions,Free
复古叠影,Transitions,Free
复古放映_II,Transitions,Free
复古漏光,Transitions,Free
复古漏光_II,Transitions,Free
复古胶片,Transitions,Free
多层环形,Transitions,Free
多屏定格,Transitions,Free
大圆盘,Transitions,Free
大波浪,Transitions,Free
字母拼贴,Transitions,Free
射灯,Transitions,Free
小喇叭,Transitions,Free
小恶魔,Transitions,Free
左移弹动,Transitions,Free
幻影,Transitions,Free
幻觉,Transitions,Free
开心,Transitions,Free
弹出,Transitions,Free
弹动发光,Transitions,Free
彩色像素,Transitions,Free
彩色滑片,Transitions,Free
往上翻页,Transitions,Free
微抖动,Transitions,Free
心形叠化,Transitions,Free
快涂擦除,Transitions,Free
快速缩放,Transitions,Free
快速震闪,Transitions,Free
快门,Transitions,Free
惊悚屏闪,Transitions,Free
手机屏放大,Transitions,Free
扫光,Transitions,Free
扭曲弹动,Transitions,Free
扭曲旋入,Transitions,Free
扭曲溶解,Transitions,Free
扭转弹动,Transitions,Free
抖动放大,Transitions,Free
抖动缩小,Transitions,Free
抖动缩小_II,Transitions,Free
折痕胶带,Transitions,Free
抽象前景,Transitions,Free
抽象前景_II,Transitions,Free
拉开,Transitions,Free
拉框入屏,Transitions,Free
拍摄器_II,Transitions,Free
拍摄器_III,Transitions,Free
挤压分屏,Transitions,Free
推近_II,Transitions,Free
推远_II,Transitions,Free
摄像机,Transitions,Free
摇晃描边,Transitions,Free
摇晃震动,Transitions,Free
摇镜,Transitions,Free
撕纸,Transitions,Free
撕纸掉落,Transitions,Free
收缩抖动,Transitions,Free
放大左移,Transitions,Free
放大镜,Transitions,Free
故障扫描,Transitions,Free
故障模糊,Transitions,Free
数字矩阵,Transitions,Free
斜向模糊,Transitions,Free
斜向闪光,Transitions,Free
斜线翻页,Transitions,Free
新篇章,Transitions,Free
新篇章_II,Transitions,Free
方形分割,Transitions,Free
方形变焦,Transitions,Free
方形模糊,Transitions,Free
方形模糊_II,Transitions,Free
方片翻转,Transitions,Free
旋焦,Transitions,Free
旋转圆球,Transitions,Free
旋转圆盘,Transitions,Free
旋转圆盘_II,Transitions,Free
旋转快门,Transitions,Free
旋转拨盘,Transitions,Free
旋转模糊,Transitions,Free
旋转穿越,Transitions,Free
旋转纵深,Transitions,Free
旋转翻页,Transitions,Free
旋转震动,Transitions,Free
无缝撕裂,Transitions,Free
无限穿越_I,Transitions,Free
无限穿越_II,Transitions,Free
日历转场,Transitions,Free
旧胶片,Transitions,Free
旧胶片_II,Transitions,Free
时光穿梭,Transitions,Free
星光,Transitions,Free
星光叠化,Transitions,Free
星光炸开,Transitions,Free
星星_III,Transitions,Free
星星变焦,Transitions,Free
星星吸入,Transitions,Free
星星模糊,Transitions,Free
春日光斑,Transitions,Free
暧昧光晕,Transitions,Free
曝光拉丝,Transitions,Free
曝光摇镜,Transitions,Free
未来光谱,Transitions,Free
未来光谱II,Transitions,Free
条形模糊,Transitions,Free
模糊放大,Transitions,Free
模糊细闪,Transitions,Free
模糊缩小,Transitions,Free
横向分屏,Transitions,Free
横向滑动,Transitions,Free
横向震动,Transitions,Free
横条挤压,Transitions,Free
横移模糊,Transitions,Free
樱花飞舞,Transitions,Free
水滴,Transitions,Free
水滴_II,Transitions,Free
